rank,zip_code,City,investment_score,renter_pct,vacancy_rate,multifamily_share,median_contract_rent,median_household_income,rent_to_income_ratio,rent_burden_rate,price_latest,price_chg_1yr_pct,price_chg_3yr_pct,price_cut_rate,inv_chg_6m_pct,core_service_area,str_status,str_notes,mello_roos_signal,wildfire_notes
70,92602,Irvine,41.395348837209305,0.5683147262094631,0.0837852206273259,0.2417345236927303,2603.0,137037.0,0.2279384399833621,0.286623012160898,2034974.5973903935,-0.893786817509834,31.800197163723396,0.3300970873786408,56.060606060606055,True,Banned,All residential zones prohibited; fines up to $1500/day,Heavy (many newer villages),Low-Moderate (eastern foothill villages near open space)
71,92694,Ladera Ranch,40.58139534883721,0.2536834806725602,0.0383081989946264,0.1078464106844741,2802.0,187701.0,0.1791359662441862,0.2446190638879398,1275322.4625727497,-0.8066963816636186,13.929713348677652,0.2688172043010752,44.18604651162789,True,Verify (unincorporated),Not confirmed in research; unincorporated South OC may follow county rules,Heavy,"Low (valley floor, not WUI core)"
72,90740,Seal Beach,40.52325581395349,0.2369533471677811,0.0991468757205441,0.3255716383469687,2263.0,75007.0,0.3620462090204914,0.2354849172883555,797130.1811946752,2.6161725957196236,11.572129948485998,0.1984732824427481,65.82278481012658,False,,,,
73,92675,San Juan Capistrano,39.01162790697675,0.2360438439969411,0.074687738975274,0.0828589500316255,2226.0,123474.0,0.2163370426162593,0.2512598992080633,1348035.2376116028,2.2324933088850196,18.646356424627264,0.205607476635514,35.443037974683534,True,Restricted,Only permitted in RM/Very High Density zones; prohibited in single-family residential (most of city),Moderate (Rancho Mission Viejo adjacency),Moderate (eastern hillside / Ortega Hwy areas)
74,92691,Mission Viejo,38.372093023255815,0.238539429272783,0.0368211107701749,0.1014501331754957,2261.0,134070.0,0.2023718952785858,0.3102649858502701,1231635.5745098258,0.4413057840384482,21.340888720518826,0.2346938775510204,11.363636363636353,True,Permitted (registration + 8% TOT),No hard cap found; some CFDs reportedly wound down in recent years per local reporting,Light-Moderate (declining),Low-Moderate (eastern foothill tract edges)
75,92807,Anaheim,38.313953488372086,0.188231495681653,0.0276858503511179,0.0789349670122526,2507.0,133894.0,0.2246851987393012,0.3271869639794168,1160737.693903481,0.08996586766092385,15.778886407358094,0.1884057971014492,2.9850746268656803,False,,,,
76,92612,Irvine,37.96511627906977,0.7212579838933629,0.1136489863926687,0.2419425222866404,2490.0,88929.0,0.3359983807306952,0.3410337857349119,1200999.8393458885,-0.5138216360680792,27.366689338962004,0.314516129032258,19.23076923076923,True,Banned,All residential zones prohibited; fines up to $1500/day,Heavy (many newer villages),Low-Moderate (eastern foothill villages near open space)
77,92620,Irvine,37.44186046511628,0.4388653407238344,0.0604592668498765,0.1809636754952343,2824.0,135494.0,0.2501070158088181,0.276798981108045,1697009.409086446,-1.9270396212205165,30.884493814760194,0.2517006802721088,17.599999999999994,True,Banned,All residential zones prohibited; fines up to $1500/day,Heavy (many newer villages),Low-Moderate (eastern foothill villages near open space)
78,92630,Lake Forest,36.62790697674418,0.3188927454257188,0.0511205382011398,0.2044027721157766,2301.0,120848.0,0.2284853700516351,0.3124160171996775,1201284.021744856,-0.7410464832044439,19.740354412973304,0.2256637168141592,26.96629213483146,True,Banned,Listed among OC cities prohibiting STR,Moderate (newer villages e.g. Baker Ranch),Low-Moderate (foothill edges near Whiting Ranch)
79,92679,Coto de Caza,36.33720930232559,0.1041306436119116,0.0412103746397694,0.0512962450410554,2774.0,206361.0,0.1613095497695785,0.2518450184501845,1598531.9362137082,-0.8177222513523819,18.24225041834644,0.272108843537415,16.666666666666675,True,Verify (unincorporated/gated),Not confirmed in research,Mixed (some parcels reportedly carry no Mello-Roos - unusual for an OC master-planned community),Elevated (canyon / WUI community)
80,92676,Silverado,35.93023255813954,0.1294765840220385,0.0495867768595041,0.0052493438320209,1701.0,116042.0,0.175901828648248,0.2659574468085106,1071582.9624457296,-0.13106959025825926,12.624770400705598,,30.000000000000004,True,Verify (unincorporated canyon community),Not confirmed in research,"Low (older rural canyon, not master-planned)","Elevated (canyon community, historically wildfire-prone)"
81,92673,San Clemente,32.06395348837209,0.203440771064359,0.0468442325629598,0.0807840807840807,2889.0,172056.0,0.2014925373134328,0.3199184921039226,1744214.1785721472,0.04002612854419052,17.721999791472488,0.2253521126760563,29.0909090909091,True,Permitted (caps + min. stay),Permit caps and minimum-stay rules in effect,Moderate (Talega district; some bonds maturing),Low-Moderate (some canyon edges)
82,92653,Laguna Hills,31.627906976744185,0.3043074637950241,0.0609914593390271,0.1092834018724297,2420.0,123490.0,0.2351607417604664,0.2931665649786455,1295705.6896369758,-0.17564239943076432,19.30361746462519,0.2253521126760563,12.698412698412698,False,Verify,Not confirmed in research,Low-Moderate,Low
83,92637,Laguna Woods,30.523255813953487,0.3107609788803218,0.1365236339255782,0.607698547304771,1973.0,56928.0,0.415893760539629,0.4646709816612729,465408.03343529394,1.6770296586656297,12.327649609309255,0.3114754098360656,22.613065326633162,False,,,,
84,92692,Mission Viejo,29.709302325581394,0.226378896882494,0.0519184652278177,0.099167901516015,2436.0,136906.0,0.213518764699867,0.2740995762711864,1228720.9185274637,-0.44682399181420474,17.473352617880256,0.3076923076923077,31.092436974789916,True,Permitted (registration + 8% TOT),No hard cap found; some CFDs reportedly wound down in recent years per local reporting,Light-Moderate (declining),Low-Moderate (eastern foothill tract edges)
85,92886,Yorba Linda,29.127906976744182,0.179599162428956,0.052288363745139,0.0618568423446472,2582.0,142900.0,0.2168229531140657,0.3187874750166555,1378393.2047970032,1.208232717440727,18.782577876068764,0.2330827067669172,41.48936170212767,False,,,,
86,92823,Brea,28.808139534883722,0.170935412026726,0.1124721603563474,0.0585585585585585,2880.0,172857.0,0.1999340495322723,0.3973941368078176,1296005.0566305842,1.2015020614710714,16.409384677057126,,,False,,,,
